word,coefficient
bạn,5.106333216539827
đồ,4.543639094645291
ngốc,3.8655499065161294
khốn_nạn,3.8459883952239857
lũ,3.0979241920862672
ngu_ngốc,2.843249054952645
con,2.6321536160014922
tên,2.576033917982722
tiệt,2.523027795256461
đi,2.350702295331542
tệ,2.3192129548309066
khốn,2.282604170952816
chết tiệt,2.2195431843797415
bạn là,2.1916996573082836
chết,2.0660266706075276
đấy,2.055811653571535
kẻ,2.0357733166412375
mày,1.8790205064964811
thật,1.8588623285244865
một tên,1.8430954501552024
ngu,1.834773231064602
trang của,1.764338627337894
khốn_kiếp,1.7445930464124209
đồ khốn_nạn,1.7158123309462827
là một,1.7031951200847455
đừng,1.6810345129006532
gã,1.6750275050076384
anh,1.6507733932740203
ngu ngốc,1.6472043401059457
đồ ngốc,1.6268942675572877
da,1.6006574807069094
fag,1.5734425068269395
quá,1.554776412425115
url url,1.521051237864487
một kẻ,1.4923146456691783
wiki,1.4399187147244945
là người,1.4194067067932787
là,1.381644104877507
thằng,1.367859319608334
điếm,1.3491853995342302
mọi người,1.3481303639191837
_đồ,1.3317963974282117
tệ quá,1.326800368510405
béo,1.3205963269012446
mông,1.310021050411391
người,1.2622469678976307
những kẻ,1.235852794416571
chết đi,1.2344999683755955
hậu_môn,1.2330642041093798
các bạn,1.2209860588326786
hãy,1.2186616346563042
go,1.2095506171963801
kẻ khốn_nạn,1.2079317237888831
đen,1.1933952399130612
mẹ,1.180764002283126
khổng_lồ,1.180066186496283
đồng_tính,1.1694120892775173
tên ngốc,1.1680129544270887
anh ta,1.1672149083835248
sau,1.1584867826979044
mọi,1.1523038246192019
đầu,1.122596473312529
hắn,1.1193067036785058
ng,1.115523284664779
mẹ kiếp,1.1139474656916721
ts,1.1041331622093304
kiếp,1.1032558326619941
mãi_mãi,1.102847293902008
da đen,1.0810043146517647
mặt,1.0688609920470544
dương_vật,1.0507191795606659
khỏi,1.0409560807747775
tôi sẽ,1.039511461936755
những thứ,1.0372694607567505
thật tệ,1.0366963613428517
đồ khốn,1.0261391497331107
trời,1.0259080193805197
bú_cặc,1.0193657687325903
một,1.0068672943232206
xấu_xí,0.9975808124471329
ngừng,0.9951086318171048
nghiêm_túc đấy,0.9809969375960654
iran,0.9733968055483526
tiệt đồ,0.9696776969808824
lời,0.9674795071707304
bạn tôi,0.9658450958565729
cái,0.9601120247035405
thua_cuộc,0.9562424264131181
bú,0.9550452242185226
no,0.9461780537980912
bẩn_thỉu,0.9460387787379877
đúng là,0.943352410500024
bạn chỉ,0.9411759286203791
chỉnh_sửa trên,0.936831204649309
thảm_hại,0.932088818467737
bạn bạn,0.921168043390684
luôn,0.920446691162295
tiệt tôi,0.9154422012412169
bọn,0.9149227336012477
đừng xóa,0.9124567303900472
ia,0.9121264775828434
đi chết,0.911785183306836
ngoài hành_tinh,0.9053497648527999
mùi,0.8912165088416135
ăn_cứt,0.88991804109096
tinh_ranh,0.8869659609009464
hy_vọng,0.8865417735822333
súng,0.8793410683912245
tiệt bạn,0.8776771571953895
một thứ,0.8773986835307055
giết,0.8768361545151033
rồi,0.8761595979972898
hãy để,0.8753977425361802
nô_lệ,0.8726117273083493
phát_triển,0.8667803698442417
chó cái,0.8662961239162009
sau đó,0.8595486394241288
anh_chàng người,0.8589680921618542
blah,0.8563494757975144
thứ,0.853908503894087
phụ_nữ,0.8472016998613785
chặn tôi,0.8450960903561644
thở,0.8445262578926975
nghiêm_túc,0.843915120562198
ngu_ngốc của,0.8416721155718164
cặc,0.8414823295902494
hẳn,0.834146488935847
vì bạn,0.8331172357309031
sâu,0.8274109805062559
bảo tôi,0.8272589054376799
bảo,0.8249176781470201
mày là,0.8228614158361952
bạn hẳn,0.8226917216497753
tên khốn,0.8221278123552394
quen,0.8219204143556293
quen với,0.8219204143556293
bạn đi,0.8180407187538509
điều này,0.817417666851446
đồ khốn_kiếp,0.8150533983704317
cho tôi,0.8134163642864004
ranh,0.8102131024513561
khỉ,0.8093977543473794
cậu,0.8057506179411633
tại_sao bạn,0.8050516555545173
trở_thành một,0.7989996567451991
hậu_môn của,0.798569311478618
là đồ,0.7952408760317577
đi con,0.7928283661434141
tôi đi,0.7904897718435989
gái điếm,0.7736012418135946
vua,0.7713301885506767
gái,0.7694755191610431
thoát,0.7679225844581656
thoát khỏi,0.7679225844581656
cùng với,0.7623448585542695
cái_quái,0.7605760238744594
cái_quái gì,0.7605760238744594
tôi hy_vọng,0.7543674840417816
gs,0.7533977904786462
kẻ thua_cuộc,0.7533435952778206
do_thái,0.7464703960836888
một gã,0.7440696840279479
đã quen,0.7415533210144862
ăn thịt,0.739595361910051
bạn biết,0.7391530829497076
sự_thật,0.7384268076968278
với tôi,0.73754566818518
ngủ,0.7363404113615558
ta,0.7307199161524658
con cặc,0.7285356891516221
mình,0.7280201285463557
con chó,0.7275823302905101
quản_trị_viên tôi,0.7274917385644343
lũ khốn,0.7273083899387296
vậy,0.7263705804795849
tôi bạn,0.7252426663739604
rác_rưởi,0.724162740218709
cặn_bã,0.7233889451811312
khác cho,0.7203657751205427
bạn thật,0.717674063065375
jps,0.7175114943099093
nhỏ_bé,0.714720933833637
sân,0.7135512592217866
con ranh,0.711377043449633
ngực,0.7110124487952891
chặn bạn,0.7099744422866869
tôi tôi,0.7082555898802041
là mẹ,0.7057129294817817
biết,0.7039937342088011
chắc,0.702150108988263
hành_tinh,0.7013588126110687
nướng,0.7013001614693093
của bạn,0.700648530032927
nigga,0.6996232511134711
là quảng_cáo,0.6990945549741716
der,0.6986261253637343
đã chặn,0.6982541462109385
trong hộp,0.6939990160816323
một thằng,0.6935395520756296
hoàn_toàn là,0.6905875338525094
hy_vọng bạn,0.6878286370743768
quay lại,0.6851778284910007
tôi rồi,0.6829213460735851
chơi,0.6810972730177122
đức,0.6796906425955691
của mày,0.6792672305001269
làm_ơn,0.6776553478318857
bài hát,0.6743890482003986
a_hah,0.6740004052175955
vết,0.6727630807414609
thứ rác_rưởi,0.6709085680191627
ngu_ngốc đến,0.6678162727820918
biên_tập các,0.6664827578180057
khốn_chết,0.6657360653270902
tên khốn_chết,0.6657360653270902
khốn_chết tiệt,0.6657360653270902
người ngoài,0.6649835771170653
đồng_tính không,0.6647223748880416
hoặc những,0.662972105406644
bạn lại,0.6620460508481326
và sau,0.6601193884642947
quay,0.6585282374768184
chó,0.6576883415197979
tàu,0.6551773748862881
tiệt đó,0.6522217149218025
haha,0.6518872627949169
thôi,0.6499966619867544
cuối_cùng,0.6498443239325933
bộ ngực,0.6488212670260511
